,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
12,3,,4,5,4,4,4,4,3,4,3,4,5,5,5,1,3,4,1,2,4,5,5,4,1,35,4.0
36,3,,3,4,4,4,3,3,4,4,3,4,3,3,4,1,3,3,1,3,3,4,2,3,0,37,4.0
44,3,,3,4,4,4,4,4,3,3,2,3,5,3,5,4,3,2,2,2,3,4,3,4,1,37,4.0
74,3,,3,4,4,4,4,4,4,4,2,4,5,2,3,3,3,3,3,3,3,3,3,3,1,31,2.0
92,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,38,4.0
110,3,,5,5,5,5,5,5,5,5,1,5,4,1,5,1,2,1,1,1,5,5,4,5,1,39,5.0
122,4,,3,5,4,4,4,2,3,4,3,3,5,3,5,1,1,1,1,1,3,5,4,3,1,34,3.0
126,3,,1,4,3,3,3,4,4,4,3,4,5,2,5,1,5,2,1,1,4,3,5,5,0,39,5.0
134,3,,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,0,38,4.0
136,3,,3,4,3,4,3,4,5,5,4,3,4,2,5,1,4,2,1,5,3,5,4,4,1,32,2.0
168,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,34,4.0
196,4,,2,5,2,2,5,2,4,4,5,2,3,4,5,1,5,1,1,1,3,2,3,1,0,46,5.0
202,3,,3,4,4,4,4,3,3,5,4,4,5,3,4,1,4,3,1,1,4,4,5,3,0,43,6.0
216,3,,3,5,5,5,3,4,5,3,1,5,5,4,5,1,4,1,3,3,4,5,4,5,0,34,3.0
238,3,,4,4,3,4,5,4,3,2,3,1,3,5,4,1,1,2,2,1,4,3,2,3,0,47,7.0
250,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,50,7.0
262,3,,3,3,2,4,4,2,5,4,4,2,4,4,4,2,2,2,3,4,5,4,3,3,0,32,2.0
282,3,,4,5,4,3,5,5,5,4,3,5,5,3,5,1,1,4,1,5,5,5,5,5,1,33,2.0
290,3,,3,5,4,3,4,4,4,4,3,4,4,4,5,1,4,2,3,1,4,4,5,5,0,39,6.0
292,3,,3,4,4,3,3,3,4,4,2,4,3,3,4,1,4,1,1,4,3,3,3,4,0,31,2.0
294,3,,3,4,5,4,4,4,4,3,2,3,4,2,4,3,2,4,2,2,4,4,4,4,1,37,5.0
296,3,,4,4,5,4,4,4,4,3,5,5,5,3,5,1,5,5,1,5,4,5,4,4,0,40,6.0
312,4,,3,5,5,4,4,2,5,4,3,4,5,5,5,4,1,1,1,1,3,5,5,5,0,46,7.0
348,3,,5,5,5,5,4,5,5,4,2,5,5,4,5,5,4,2,1,5,5,5,5,5,1,39,5.0
368,4,,4,5,4,4,4,4,5,4,3,3,5,2,5,1,2,3,1,1,1,5,3,4,0,39,5.0
376,3,,4,4,3,4,4,4,5,4,5,4,5,4,5,4,4,2,1,1,3,4,5,4,1,31,1.0
382,3,,5,5,5,5,5,3,5,2,1,5,5,5,5,1,2,1,1,1,4,4,5,3,0,41,7.0
400,3,,3,5,3,2,4,4,5,4,2,3,5,3,4,1,2,1,1,4,4,4,5,5,0,35,4.0
416,3,,3,4,3,5,4,4,5,3,4,4,4,3,4,1,3,3,1,4,4,4,4,4,0,26,
424,3,,5,5,5,5,4,2,3,5,5,4,2,4,5,3,3,3,1,4,1,1,3,3,1,26,
434,3,,4,5,5,5,3,1,4,4,3,4,4,4,5,1,5,5,1,4,3,5,3,4,1,38,4.0
452,3,,3,5,5,5,4,4,4,4,4,4,5,3,5,1,3,5,1,1,5,5,5,5,0,37,5.0
466,3,,3,4,4,5,4,4,2,2,4,4,5,1,5,1,4,4,1,3,5,5,4,5,0,39,4.0
474,3,,2,4,4,4,4,4,4,3,4,4,2,2,5,1,1,1,1,1,3,3,1,1,0,45,7.0
486,3,,3,4,4,3,4,3,3,3,2,4,4,3,4,2,2,2,2,2,4,2,2,4,0,35,3.0
492,3,,3,5,4,4,1,1,1,1,4,4,4,3,5,1,1,1,1,1,1,3,4,1,0,42,6.0
500,4,,4,4,4,5,5,5,4,3,3,5,5,4,4,2,3,1,5,1,5,5,4,5,0,33,4.0
518,3,,3,3,4,4,3,4,3,3,3,3,4,2,4,1,5,3,4,1,1,4,3,4,0,39,6.0
524,3,,4,4,4,5,4,5,5,3,2,5,5,1,5,1,5,5,1,4,4,5,5,5,0,37,5.0
528,3,,4,4,4,5,5,5,3,3,4,4,4,5,5,1,3,4,1,1,4,4,4,1,0,45,7.0
548,3,,4,5,4,5,3,4,2,3,3,4,5,5,4,1,4,4,1,2,2,3,2,2,0,32,3.0
552,4,,3,5,5,4,5,4,5,4,2,5,5,5,5,2,2,1,1,2,3,4,3,4,1,34,3.0
562,3,,4,5,4,4,4,4,4,2,3,4,5,2,5,1,5,2,1,3,5,4,5,5,0,33,3.0
566,3,,5,4,3,3,5,5,4,5,1,4,4,3,5,1,3,1,1,1,5,4,4,5,0,32,3.0
576,3,,2,5,4,4,4,4,3,3,1,4,5,1,5,1,2,1,1,5,5,4,4,5,0,41,6.0
604,3,,1,5,2,3,5,2,5,5,2,1,5,5,5,1,1,1,1,3,5,3,5,5,0,34,4.0
608,3,,5,5,5,4,3,4,5,4,5,4,5,1,5,1,4,4,1,3,3,4,5,4,0,36,4.0
636,3,,4,5,4,4,4,5,5,4,2,5,5,3,4,1,4,4,1,1,3,3,4,4,0,33,3.0
662,3,,3,4,4,3,4,2,3,5,2,4,4,3,4,1,4,4,1,1,3,3,4,3,0,46,7.0
680,3,,2,5,4,4,5,4,4,4,1,3,4,1,4,1,1,4,1,1,4,4,3,4,0,34,4.0
694,3,,2,5,5,5,4,2,2,4,3,4,4,3,4,1,5,3,1,2,3,5,4,4,0,34,4.0
714,3,,5,4,4,4,5,5,5,4,1,5,5,4,5,1,5,3,1,4,5,4,5,5,0,36,4.0
734,3,,4,3,4,3,3,2,2,3,2,4,4,4,4,1,2,4,1,2,1,4,2,2,0,44,7.0
738,3,,3,5,4,4,3,5,4,4,4,4,4,5,5,1,4,2,1,1,2,4,4,4,0,40,6.0
740,3,,2,4,4,3,4,1,1,4,3,3,4,2,4,1,4,3,1,2,1,4,4,2,0,34,3.0
744,3,,3,5,3,4,5,5,5,4,4,5,5,4,5,3,5,3,3,2,2,3,5,3,0,39,6.0
746,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,4,4,3,5,5,0,37,5.0
758,3,,3,5,4,5,3,4,2,4,4,5,5,1,5,1,1,4,1,1,1,1,1,1,0,42,6.0
