,Q2b,Q2c,Age,Work_exp,0,1,2
12,3,,35,4.0,4.5,3.6666666666666665,1.3333333333333333
36,3,,37,4.0,4.0,3.3333333333333335,1.6666666666666667
44,3,,37,4.0,4.25,3.6666666666666665,2.6666666666666665
74,3,,31,2.0,3.75,4.0,3.0
92,4,,38,4.0,5.0,5.0,5.0
110,3,,39,5.0,5.0,5.0,1.0
122,4,,34,3.0,4.5,3.0,1.0
126,3,,39,5.0,3.75,3.6666666666666665,1.0
134,3,,38,4.0,4.0,4.0,4.0
136,3,,32,2.0,4.0,4.0,2.3333333333333335
168,3,,34,4.0,5.0,5.0,5.0
196,4,,46,5.0,3.5,3.6666666666666665,1.0
202,3,,43,6.0,4.0,3.3333333333333335,1.0
216,3,,34,3.0,5.0,4.0,2.3333333333333335
238,3,,47,7.0,3.75,4.0,1.3333333333333333
250,4,,50,7.0,4.0,4.0,4.0
262,3,,32,2.0,3.25,3.6666666666666665,3.0
282,3,,33,2.0,4.25,5.0,2.3333333333333335
290,3,,39,6.0,4.25,4.0,1.6666666666666667
292,3,,31,2.0,3.75,3.3333333333333335,2.0
294,3,,37,5.0,4.25,4.0,2.3333333333333335
296,3,,40,6.0,4.5,4.0,2.3333333333333335
312,4,,46,7.0,4.75,3.6666666666666665,2.0
348,3,,39,5.0,5.0,4.666666666666667,3.6666666666666665
368,4,,39,5.0,4.5,4.333333333333333,1.0
376,3,,31,1.0,4.0,4.333333333333333,2.0
382,3,,41,7.0,5.0,4.333333333333333,1.0
400,3,,35,4.0,3.5,4.333333333333333,2.0
416,3,,26,,4.0,4.333333333333333,2.0
424,3,,26,,5.0,3.0,2.6666666666666665
434,3,,38,4.0,5.0,2.6666666666666665,2.0
452,3,,37,5.0,5.0,4.0,1.0
466,3,,39,4.0,4.5,3.3333333333333335,1.6666666666666667
474,3,,45,7.0,4.25,4.0,1.0
486,3,,35,3.0,3.75,3.3333333333333335,2.0
492,3,,42,6.0,4.5,1.0,1.0
500,4,,33,4.0,4.25,4.666666666666667,2.6666666666666665
518,3,,39,6.0,3.75,3.3333333333333335,2.0
524,3,,37,5.0,4.5,4.666666666666667,2.0
528,3,,45,7.0,4.5,4.333333333333333,1.0
548,3,,32,3.0,4.5,3.0,1.3333333333333333
552,4,,34,3.0,4.75,4.666666666666667,1.6666666666666667
562,3,,33,3.0,4.5,4.0,1.6666666666666667
566,3,,32,3.0,3.75,4.666666666666667,1.0
576,3,,41,6.0,4.5,3.6666666666666665,2.3333333333333335
604,3,,34,4.0,3.75,4.0,1.6666666666666667
608,3,,36,4.0,4.75,4.0,1.6666666666666667
636,3,,33,3.0,4.25,4.666666666666667,1.0
662,3,,46,7.0,3.75,3.0,1.0
680,3,,34,4.0,4.25,4.333333333333333,1.0
694,3,,34,4.0,4.75,2.6666666666666665,1.3333333333333333
714,3,,36,4.0,4.25,5.0,2.0
734,3,,44,7.0,3.5,2.3333333333333335,1.3333333333333333
738,3,,40,6.0,4.5,4.0,1.0
740,3,,34,3.0,3.75,2.0,1.3333333333333333
744,3,,39,6.0,4.25,5.0,2.6666666666666665
746,3,,37,5.0,4.0,4.0,3.0
758,3,,42,6.0,4.75,3.0,1.0
766,3,,43,7.0,5.0,4.666666666666667,2.0
774,3,,37,4.0,4.25,1.6666666666666667,3.0
782,3,,44,7.0,4.75,4.666666666666667,1.0
784,3,,36,5.0,3.5,3.6666666666666665,1.0
814,4,,35,2.0,5.0,5.0,5.0
816,3,,51,7.0,4.5,4.666666666666667,1.6666666666666667
818,3,,33,4.0,5.0,4.333333333333333,1.0
820,4,,41,5.0,4.5,3.0,1.6666666666666667
844,4,,38,5.0,2.75,3.6666666666666665,1.0
870,3,,39,5.0,4.5,2.6666666666666665,1.0
880,3,,39,6.0,4.75,3.6666666666666665,2.0
902,3,,37,5.0,5.0,3.3333333333333335,1.0
