,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
2,R_018WlWuA3t54RJX,1,2,5,5,5,5,5,4,2,5,5,5,3,5,3,5,5,3,4,5,5,5,3,5,5,5,5,5,5,3,5
66,R_2nqYmu01KU0Yzzv,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
121,R_4HoRidJ1YoBiF5H,1,5,4,5,4,4,4,5,5,5,3,5,4,5,3,4,5,4,4,2,3,5,4,5,5,5,5,5,5,4,5
137,R_50y98rgxtaJUr5j,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,3
156,R_5jOlorMIdG4L2Lj,1,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
188,R_6naAKM07SvK7lK5,1,1,5,5,4,5,3,3,3,3,3,4,3,4,3,3,5,3,3,5,4,5,3,5,3,5,5,2,3,3,4
218,R_86TzRRthpyi4C0J,1,4,5,5,4,3,3,3,4,4,4,5,3,4,4,4,5,4,4,4,4,5,4,4,4,5,5,3,4,3,5
238,R_8wUuLaeHFcOqsGp,1,4,5,4,5,4,4,4,3,5,5,4,3,4,3,5,5,3,5,4,5,5,4,4,4,5,5,4,3,3,4
306,R_bC8MrNCC3hgpJA1,1,4,4,4,4,4,4,5,3,5,5,5,5,5,5,5,5,4,5,4,4,5,3,5,4,4,4,4,4,4,4
383,R_egJJtz76TkB7UFv,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
