,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
15,R_0GtZr3RF7qTBHhP,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
171,R_6iqlCynI00aUe8Z,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
184,R_6mxaamyydtWyvU9,6,3,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,2,5,3,4,5,3,4,4,4,4,3,4,3,3
206,R_73P9Sb7XzamzIq1,6,5,5,5,5,5,5,5,3,5,5,4,3,4,3,5,4,4,4,4,4,5,4,5,5,5,5,3,4,4,5
233,R_8uAKs1legADboCp,6,3,2,5,4,2,3,3,3,5,3,3,4,4,4,4,4,4,5,3,4,4,4,4,3,4,4,4,4,4,3
403,R_eWGZTO9JXQzF5Y1,6,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4
471,R_0pJv4yyvfh57fQV,6,5,5,5,5,5,5,2,1,3,4,5,3,3,3,4,4,5,4,4,5,5,5,5,3,5,5,2,4,3,4
515,R_29mLKiONYb1Ghtr,6,3,4,4,4,4,4,2,3,4,3,2,4,4,2,4,3,4,4,4,4,3,3,4,3,4,4,1,4,4,4
544,R_3JCSyX0CbyTV9oF,6,4,5,5,5,5,3,3,3,5,5,5,3,4,3,5,5,4,5,5,3,5,3,5,5,5,5,5,5,4,5
603,R_5atqe0FToCXkGUZ,6,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3
651,R_6Y8uiH6ihe2UzR3,6,4,4,4,3,4,5,3,3,3,4,3,2,3,3,3,3,3,4,4,4,5,3,3,3,5,5,3,3,3,3
659,R_73QTLJJmar73Sgl,6,4,4,4,4,4,4,4,2,4,4,3,2,4,3,3,4,4,4,4,4,4,3,4,3,4,5,3,4,3,3
671,R_7OHJsujYB9EnNrf,6,3,4,4,3,4,5,3,5,4,4,3,3,3,3,4,4,4,3,5,5,4,4,5,4,4,4,5,4,3,4
685,R_821VmU1ZIXAkUYt,6,3,3,3,3,3,3,3,1,3,3,3,4,4,2,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3
735,R_9B8f6PlN0CakQjr,6,5,4,4,4,3,2,3,2,3,4,4,3,3,3,3,4,4,3,4,4,5,3,5,4,4,5,3,4,3,3
739,R_9M5cIwCq5lJDB65,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,5,3,3,3,3
775,R_b1S1bLH1oWzPMUt,6,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
784,R_bC2ZHj6ajh9iHVH,6,2,3,4,4,4,4,3,2,4,4,3,2,3,3,4,3,2,4,4,3,4,3,5,4,4,4,3,4,3,3
799,R_bI8CoR1HYFD1pcN,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
811,R_bl5DYaka3vCHE33,6,5,5,5,5,5,4,4,4,4,4,4,2,3,1,4,5,5,5,5,5,4,4,4,4,4,5,3,3,3,3
876,R_eailS2D0WBeIHWJ,6,1,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5
881,R_eeUQiCdcmCbyMSh,6,4,5,3,3,3,4,1,3,3,4,4,3,2,3,4,4,5,3,4,3,3,3,4,3,3,4,1,3,3,3
883,R_eFfcFoAjCauZpFX,6,5,5,5,5,5,5,3,3,5,5,5,3,5,3,5,5,5,5,5,5,5,4,5,4,5,5,4,5,3,3
889,R_eJ1aVwLzUYbLWh7,6,5,5,5,4,4,4,4,3,4,5,5,3,3,3,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,4
899,R_eRHAyTVkKnAlzXT,6,5,5,5,5,4,5,2,5,5,5,4,3,4,3,4,5,5,4,4,5,5,4,5,5,4,5,2,5,4,5
902,R_eVsGbsZSsEHvXnf,6,1,3,5,3,3,5,3,1,3,3,5,3,3,3,5,5,5,4,5,5,5,3,3,5,5,5,3,3,3,2
906,R_eyQaTOU4KawwSK9,6,4,4,4,5,3,5,2,3,5,5,5,2,4,3,4,5,4,3,4,4,5,5,4,4,5,4,2,4,3,3
909,R_eyrEJQTX8m6tmQt,6,1,4,5,5,5,4,5,1,4,4,5,5,5,1,5,3,4,4,5,4,4,5,4,4,5,5,5,5,1,4
14,R_0GtZr3RF7qTBHhP,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
170,R_6iqlCynI00aUe8Z,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
185,R_6mxaamyydtWyvU9,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,4,5,3,4,5,3,4,4,4,4,3,4,3,3
207,R_73P9Sb7XzamzIq1,4,4,4,4,4,3,4,3,5,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3
232,R_8uAKs1legADboCp,4,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,2
402,R_eWGZTO9JXQzF5Y1,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
470,R_0pJv4yyvfh57fQV,4,5,5,5,4,5,4,2,4,4,4,5,3,3,3,4,5,5,5,5,5,5,4,5,3,5,5,2,4,2,5
514,R_29mLKiONYb1Ghtr,4,5,4,4,4,4,3,2,5,3,3,3,5,4,2,4,3,5,4,5,4,5,3,5,5,4,4,1,4,1,5
545,R_3JCSyX0CbyTV9oF,4,5,5,5,5,5,3,3,3,5,5,5,3,4,3,5,5,5,5,5,5,5,3,4,5,5,5,3,4,3,5
602,R_5atqe0FToCXkGUZ,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3
650,R_6Y8uiH6ihe2UzR3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,3,4,4,4,5,3,4,3,4,3,4,5,3,3,3,3
658,R_73QTLJJmar73Sgl,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,3,4,4,4,4,4,4,3,4,3,4,5,3,4,3,3
670,R_7OHJsujYB9EnNrf,4,3,4,4,3,4,5,3,4,4,5,3,3,3,3,4,4,4,3,5,5,4,5,5,4,4,4,4,5,3,4
684,R_821VmU1ZIXAkUYt,4,5,4,4,4,5,4,3,4,4,4,4,4,3,2,4,3,4,4,5,5,4,4,5,5,5,4,3,4,5,3
734,R_9B8f6PlN0CakQjr,4,5,4,4,4,3,2,3,4,3,4,4,3,4,3,3,4,4,4,4,4,5,3,4,4,4,5,3,4,3,3
738,R_9M5cIwCq5lJDB65,4,5,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,5,4,4,3,4,3,3,3,3,4,4,3,3,3
774,R_b1S1bLH1oWzPMUt,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
785,R_bC2ZHj6ajh9iHVH,4,4,3,4,4,4,4,3,4,4,3,3,2,3,3,4,3,2,4,4,3,4,2,4,4,4,4,3,4,3,3
798,R_bI8CoR1HYFD1pcN,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
810,R_bl5DYaka3vCHE33,4,5,5,5,5,5,4,4,4,4,4,4,2,4,1,4,5,5,5,5,5,4,4,4,4,4,5,3,3,3,3
