,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
0,1,2.0,4,5,4,4,4,3,4,3,2,4,5,1,5,1,2,1,2,3,4,4,5,5,1,30,1.0
2,1,5.0,3,5,5,3,4,3,3,4,3,4,5,1,5,1,4,1,3,1,4,3,5,4,0,35,4.0
4,2,2.0,3,3,3,3,3,3,3,3,3,3,5,1,5,1,5,1,1,1,3,3,5,5,1,33,3.0
6,2,2.0,2,5,4,4,5,3,3,3,2,5,5,2,5,1,3,3,1,3,4,4,5,5,0,30,2.0
8,1,6.0,2,4,4,2,2,2,3,4,4,4,5,1,4,3,4,2,5,1,1,3,4,4,0,30,2.0
10,2,3.0,3,4,3,5,4,4,4,3,2,3,4,2,5,3,5,4,1,4,4,5,4,4,1,32,1.0
14,1,3.0,3,4,4,4,4,5,5,4,4,4,5,4,5,1,4,1,3,1,4,3,4,4,0,37,5.0
16,2,2.0,4,5,5,4,5,4,4,5,2,5,4,2,5,2,1,4,1,3,4,5,3,5,1,33,3.0
18,1,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,31,2.0
20,1,6.0,1,4,4,4,3,1,2,4,3,5,4,2,1,3,5,4,1,2,4,5,3,4,0,32,1.0
22,1,1.0,4,4,4,4,5,5,4,3,1,4,5,1,5,1,4,1,1,4,5,5,4,1,1,36,4.0
24,2,2.0,5,5,5,5,3,5,5,1,1,4,5,2,5,1,3,5,1,1,5,5,5,5,1,41,6.0
26,1,4.0,3,5,5,4,3,3,3,4,3,3,4,3,5,1,4,1,1,1,3,4,3,4,0,33,4.0
28,1,3.0,4,5,5,5,5,3,5,3,3,5,5,1,5,1,3,3,1,1,4,4,4,4,1,31,1.0
30,1,1.0,4,4,4,5,4,5,4,3,2,5,4,3,5,5,5,3,3,4,4,4,4,5,0,32,3.0
32,1,5.0,3,4,4,4,4,3,4,4,3,5,4,4,5,1,2,3,2,2,3,5,4,2,0,31,1.0
34,1,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,34,4.0
38,1,4.0,5,3,3,5,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,3,3,0,33,2.0
40,1,2.0,4,3,4,4,4,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,3,0,35,4.0
42,1,4.0,3,5,4,4,5,4,4,4,2,4,3,5,5,1,1,4,1,2,5,5,4,5,0,36,4.0
46,1,2.0,4,4,4,1,3,4,4,3,5,3,5,3,5,1,5,3,1,1,4,4,5,5,1,35,4.0
48,2,4.0,4,4,4,4,4,5,5,4,2,4,5,4,4,2,1,2,1,4,5,4,5,5,0,30,1.0
50,2,2.0,5,5,4,4,4,5,4,4,2,4,5,2,4,1,4,4,1,4,4,4,4,4,1,35,4.0
52,2,2.0,2,5,5,5,5,4,5,4,1,3,5,5,5,2,2,4,3,2,5,5,5,5,1,32,1.0
54,2,2.0,3,4,3,3,4,3,4,3,4,3,2,4,3,2,4,3,3,3,2,3,4,2,0,29,3.0
56,2,2.0,3,5,4,5,5,4,5,2,1,4,5,1,5,1,4,2,1,1,5,4,5,5,0,35,4.0
58,2,2.0,3,5,5,5,4,3,4,4,4,4,5,1,5,1,5,4,1,4,4,5,5,5,1,34,3.0
60,2,2.0,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3,1,34,4.0
62,1,6.0,4,4,5,4,4,5,3,4,3,4,4,1,5,5,5,2,5,2,4,5,5,5,1,31,1.0
64,1,4.0,3,5,5,5,5,5,4,4,5,5,5,3,5,2,4,4,2,2,5,5,5,5,1,28,1.0
66,2,1.0,2,5,5,4,4,4,5,3,3,4,5,1,5,1,1,2,1,1,2,5,5,5,0,41,7.0
68,2,2.0,3,4,4,4,4,3,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,0,39,5.0
70,2,2.0,2,4,2,3,4,2,5,3,2,3,4,1,2,1,4,1,1,1,4,3,4,4,1,36,4.0
72,1,6.0,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,0,31,2.0
76,1,6.0,3,4,4,4,4,4,4,4,2,3,5,3,4,2,2,2,4,4,4,4,4,3,0,33,2.0
78,2,5.0,3,4,5,4,3,3,4,4,2,4,4,2,5,5,5,3,1,4,4,4,4,4,1,32,1.0
80,1,4.0,5,5,5,5,5,5,5,5,5,5,5,3,5,4,3,5,3,5,2,5,5,5,1,32,2.0
82,1,2.0,3,5,3,4,5,4,3,2,2,5,3,1,4,1,1,3,1,1,4,3,2,4,0,37,4.0
84,1,2.0,5,5,5,5,5,5,5,5,4,5,5,2,5,2,3,2,3,3,5,4,5,5,1,30,1.0
86,1,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,31,2.0
88,1,4.0,5,4,3,5,5,5,5,4,4,4,4,5,5,4,5,1,3,3,5,5,5,5,1,35,3.0
90,1,4.0,2,4,4,4,3,4,3,4,5,3,5,1,5,2,2,2,2,2,5,4,4,2,0,36,2.0
94,1,2.0,4,5,4,4,5,4,5,3,2,4,4,3,5,1,1,2,3,2,3,3,4,5,1,30,1.0
96,1,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,1,32,1.0
98,1,2.0,4,5,4,5,4,5,4,4,3,5,5,3,5,1,1,1,1,1,4,4,4,2,1,35,4.0
100,1,5.0,2,4,3,4,4,4,5,4,3,4,5,1,5,1,4,1,1,1,5,4,5,5,0,37,5.0
102,1,2.0,4,5,4,4,4,4,5,4,1,5,5,2,4,1,4,3,3,2,4,4,4,5,1,31,2.0
104,1,3.0,3,4,4,4,4,4,5,4,3,3,5,2,5,1,5,2,1,4,5,3,5,5,1,36,4.0
106,2,2.0,3,2,2,4,3,2,3,3,2,2,2,2,3,4,3,4,1,3,3,4,4,1,0,30,2.0
108,2,1.0,4,5,3,3,5,4,5,4,3,4,5,2,5,1,1,1,1,1,5,4,5,5,1,31,1.0
112,1,5.0,3,5,4,5,4,4,5,4,4,5,4,1,5,3,4,1,4,2,5,4,4,4,1,32,2.0
114,2,3.0,3,5,5,5,5,3,1,4,1,5,5,3,5,1,2,1,1,1,5,5,5,1,0,35,4.0
116,2,2.0,3,4,3,4,5,5,3,3,2,4,4,4,5,3,3,1,3,3,5,4,5,5,0,31,2.0
118,1,3.0,4,5,4,3,5,5,5,3,1,3,5,1,5,1,5,2,1,1,5,3,5,2,1,33,3.0
120,1,3.0,3,4,4,2,3,4,4,5,3,2,4,1,5,1,4,3,1,1,3,4,5,4,0,30,1.0
124,1,4.0,3,4,5,5,4,4,5,3,2,4,3,2,4,2,4,5,4,2,3,5,3,4,1,36,3.0
128,1,6.0,2,5,4,3,3,3,4,5,3,3,5,1,5,2,4,3,4,2,4,4,5,5,1,33,3.0
130,2,2.0,2,4,4,3,3,2,2,4,4,3,4,2,4,1,2,2,1,1,3,4,4,4,0,38,5.0
132,2,2.0,5,5,5,5,5,5,5,1,1,5,5,1,5,1,5,3,1,1,3,5,4,5,1,41,7.0
138,2,3.0,4,5,4,4,3,5,3,4,1,4,5,3,5,3,4,4,3,2,2,5,5,4,1,37,5.0
140,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,31,1.0
142,1,3.0,4,5,5,5,4,3,4,4,4,5,5,3,5,3,3,2,3,3,5,5,5,5,1,30,1.0
144,1,5.0,5,5,5,5,5,5,5,3,5,5,5,5,5,2,5,2,2,5,3,4,5,3,1,33,3.0
