,Q2b,Q2c,Age,Work_exp,0,1,2
0,1,2.0,30,1.0,4.5,3.6666666666666665,2.0
2,1,5.0,35,4.0,4.5,3.3333333333333335,1.6666666666666667
4,2,2.0,33,3.0,3.5,3.0,1.0
6,2,2.0,30,2.0,4.5,3.6666666666666665,1.6666666666666667
8,1,6.0,30,2.0,3.5,2.3333333333333335,3.0
10,2,3.0,32,1.0,4.25,4.0,2.6666666666666665
14,1,3.0,37,5.0,4.25,4.666666666666667,1.6666666666666667
16,2,2.0,33,3.0,4.75,4.333333333333333,2.0
18,1,4.0,31,2.0,4.0,4.0,4.0
20,1,6.0,32,1.0,3.25,2.0,2.0
22,1,1.0,36,4.0,4.25,4.666666666666667,2.0
24,2,2.0,41,6.0,5.0,4.333333333333333,1.0
26,1,4.0,33,4.0,4.75,3.0,1.0
28,1,3.0,31,1.0,5.0,4.333333333333333,1.0
30,1,1.0,32,3.0,4.5,4.333333333333333,4.0
32,1,5.0,31,1.0,4.25,3.6666666666666665,1.6666666666666667
34,1,2.0,34,4.0,3.0,3.0,3.0
38,1,4.0,33,2.0,3.75,4.0,3.3333333333333335
40,1,2.0,35,4.0,3.5,3.6666666666666665,3.6666666666666665
42,1,4.0,36,4.0,4.5,4.333333333333333,1.3333333333333333
46,1,2.0,35,4.0,3.5,3.6666666666666665,1.0
48,2,4.0,30,1.0,4.0,4.666666666666667,2.3333333333333335
50,2,2.0,35,4.0,4.25,4.333333333333333,2.0
52,2,2.0,32,1.0,5.0,4.666666666666667,2.3333333333333335
54,2,2.0,29,3.0,3.25,3.6666666666666665,2.6666666666666665
56,2,2.0,35,4.0,4.75,4.666666666666667,1.0
58,2,2.0,34,3.0,5.0,3.6666666666666665,2.0
60,2,2.0,34,4.0,3.5,3.0,3.3333333333333335
62,1,6.0,31,1.0,4.5,4.0,4.0
64,1,4.0,28,1.0,5.0,4.666666666666667,2.0
66,2,1.0,41,7.0,4.75,4.333333333333333,1.0
