,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
0,R_00OqOJnWgjUZ9c1,8,3,5,5,4,4,4,2,2,3,4,5,3,5,4,5,4,3,5,3,5,5,3,4,3,5,5,2,5,3,5
1,R_00OqOJnWgjUZ9c1,7,4,5,5,4,4,2,2,2,3,4,4,3,5,4,5,4,3,5,3,5,5,3,4,4,5,5,2,5,3,5
2,R_018WlWuA3t54RJX,1,2,5,5,5,5,5,4,2,5,5,5,3,5,3,5,5,3,4,5,5,5,3,5,5,5,5,5,5,3,5
3,R_018WlWuA3t54RJX,4,5,5,5,5,3,5,3,5,5,5,4,5,5,3,5,4,5,3,5,5,5,3,5,5,5,5,3,5,3,5
4,R_01TWdrQC4YNj9lj,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,R_01TWdrQC4YNj9lj,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,R_02muyZJp0wCX8cR,6,3,5,5,5,5,5,5,3,3,5,4,3,4,3,4,5,5,4,5,5,5,3,3,4,5,5,4,4,3,5
7,R_02muyZJp0wCX8cR,8,3,5,5,5,5,3,5,3,3,5,4,3,4,3,4,5,5,5,5,5,5,3,3,5,5,5,4,4,3,5
8,R_06ReIP7UGvpKCc5,4,3,4,4,5,3,5,3,3,4,4,3,4,4,3,4,3,5,4,5,4,4,3,5,3,4,4,3,3,3,3
9,R_06ReIP7UGvpKCc5,7,3,5,4,4,3,4,3,3,4,3,5,2,3,3,4,5,4,3,4,4,5,3,5,4,5,5,3,3,3,3
10,R_0d0DD6W4X1qGdcV,2,4,4,4,4,3,5,3,4,4,4,4,5,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
11,R_0d0DD6W4X1qGdcV,8,4,5,4,4,4,4,3,4,5,4,4,3,5,3,4,5,5,4,4,4,4,4,5,4,4,5,4,4,5,4
12,R_0GmoOgiTQuCDjkV,5,4,5,5,5,4,4,3,5,3,3,5,3,4,3,3,5,4,4,3,5,5,3,5,3,5,5,3,3,3,5
13,R_0GmoOgiTQuCDjkV,8,4,5,5,5,3,4,3,3,3,3,4,3,4,3,3,5,4,4,4,5,4,3,5,3,5,5,3,3,3,4
14,R_0GtZr3RF7qTBHhP,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,R_0GtZr3RF7qTBHhP,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16,R_0IBiJ2DIjkYAtc9,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3
17,R_0IBiJ2DIjkYAtc9,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3
18,R_0iyHMtf8FxCtXrT,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
19,R_0iyHMtf8FxCtXrT,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
20,R_0JatgHUn1yjJ1B3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21,R_0JatgHUn1yjJ1B3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,R_0ktfzWVQmIaEPcN,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,4,4,5,5
23,R_0ktfzWVQmIaEPcN,4,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5
24,R_0lBrGDfTbFIzNnD,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
25,R_0lBrGDfTbFIzNnD,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
26,R_0MPO0D1FVK9kJ6J,1,3,4,4,4,4,5,4,4,5,4,5,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,5
27,R_0MPO0D1FVK9kJ6J,6,3,4,4,4,4,5,4,4,5,4,4,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,3
