,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
61,R_2ajv8brG4qHBdZ3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
91,R_3Q1Xb19U75lVYUt,8,2,5,5,2,4,2,3,3,4,3,4,3,3,3,4,5,5,3,4,5,4,3,4,4,4,5,3,3,4,2
173,R_6iqmkfN6fNlCj0V,8,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
174,R_6JAKrdubsJwuNU1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
197,R_6XMNixDu8pkxR1r,8,2,5,5,5,5,2,5,2,5,4,4,2,5,5,5,3,4,4,3,5,5,4,4,5,5,5,5,5,3,3
251,R_9npPwJUvDsoQ4aF,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
288,R_aXygpRP99K6RVjf,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
291,R_aYlFgozUfO17CKN,8,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
313,R_bEiHGwOoKaElP1z,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
371,R_dmt7UFGELqRBUEd,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
384,R_eh9IVknQt1RVbH7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421,SS_9XZ8NzuQ0pQWuep,8,3,5,5,3,4,5,2,4,5,4,4,4,4,4,4,4,5,3,4,5,4,4,4,2,3,5,1,4,4,4
438,R_0Bf1MPgUaK13gKF,8,3,4,5,4,3,4,3,2,5,5,4,4,3,1,5,5,4,4,5,5,5,4,5,4,5,5,3,4,2,5
443,R_0cFdCLzuidDk6Hj,8,3,3,5,4,4,3,4,3,3,4,4,3,4,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
451,R_0DsLbD7XJvhsC2x,8,5,5,5,5,5,5,2,4,5,5,3,4,3,3,5,5,4,3,4,5,5,3,5,5,5,5,1,3,3,5
469,R_0P8ON75izwDhqWF,8,3,5,5,5,5,5,5,3,3,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
